STATION_NUMBER,STATION_NAME,LOCATION,LAT,LON,DRAINAGE_AREA_GROSS,DRAINAGE_AREA_EFFECT,RHBN
02NG012,MEKINAC (RIVIERE) EN AVAL DE SAINT-JOSEPH-DE-MEKINAC,QC,46.90694046020508,-72.71556091308594,997.0,,0
02NG014,SOURIS (LAC DES),QC,46.584720611572266,-72.98388671875,,,0
02NG017,PILES (LAC DES),QC,46.64167022705078,-72.78056335449219,16.200000762939453,,0
02NG019,PILES (LAC DES) A 50 METRES EN AMONT DU BARRAGE,QC,46.659400939941406,-72.77410125732422,16.0,,0
02OA001,CHATEAUGUAY (RIVIERE) EN AVAL DE LA ROUTE NO. 205,QC,45.286109924316406,-73.80278015136719,2460.0,,0
02OA002,PRAIRIES (RIVIERE DES) A CARTIERVILLE,QC,45.53388977050781,-73.7300033569336,,,0
02OA003,MILLE ILES (RIVIERE DES) A BOIS-DES-FILION,QC,45.66294097900391,-73.75215911865234,,,0
02OA004,PRAIRIES (RIVIERE DES) AU RAPIDE DU CHEVAL BLANC,QC,45.51832962036133,-73.84249877929688,146000.0,,0
02OA006,PRAIRIES (RIVIERE DES) A AHUNTSIC,QC,45.55693817138672,-73.67610931396484,,,0
02OA012,CHATEAUGUAY (RIVIERE) A CHATEAUGUAY-CENTRE,QC,45.36167144775391,-73.74806213378906,,,0
02OA013,OUTAOUAIS (RIVIERE DES) A SAINTE-ANNE-DE-BELLEVUE,QC,45.4046516418457,-73.9566421508789,,,0
02OA015,MILLE ILES (RIVIERE DES) A LAVAL OUEST,QC,45.540828704833984,-73.88139343261719,,,0
02OA016,SAINT-LAURENT (FLEUVE) A LASALLE,QC,45.41500854492188,-73.62316131591797,,,0
02OA017,SAINT-LAURENT (FLEUVE) AU PONT MERCIER,QC,45.42028045654297,-73.65193939208984,,,0
02OA018,PRAIRIES (RIVIERE DES) AUX RAPIDES DU CHEVAL BLANC,QC,45.519718170166016,-73.834716796875,,,0
02OA019,PRAIRIES (RIVIERE DES) A ROXBORO,QC,45.51556015014648,-73.81360626220703,,,0
02OA020,PRAIRIES (RIVIERE DES) A DUVERNAY EST,QC,45.65250015258789,-73.600830078125,,,0
02OA021,DEUX MONTAGNES (LAC DES) AU QUAI DE VAUDREUIL,QC,45.400001525878906,-74.02333068847656,,,0
02OA024,RIVE SUD (CANAL DE LA) A COTE-SAINTE-CATHERINE,QC,45.40610885620117,-73.5763931274414,,,0
02OA025,BELLE RIVIERE (RIVIERE) A SAINTE-SCHOLASTIQUE,QC,45.65193939208984,-74.09221649169922,28.0,,0
02OA026,BELLE RIVIERE (RIVIERE) AU BARRAGE PRES DE SAINTE-SCHOLASTIQUE,QC,45.63999938964844,-74.09916687011719,,,0
02OA028,CHENE (RIVIERE DU) AU SUD DU VILLAGE DE BELLE-RIVIERE,QC,45.61333084106445,-74.10472106933594,53.59999847412109,,0
02OA030,MASCOUCHE (RIVIERE) PRES DE SAINT-JANVIER,QC,45.69166946411133,-73.93805694580078,18.899999618530277,,0
02OA031,CHICOT (RIVIERE DU) PRES DE SAINTE-MONIQUE,QC,45.65528106689453,-73.9669418334961,7.25,,0
02OA032,CHIENS (RIVIERE AUX) PRES DE BOISBRIAND,QC,45.63777923583984,-73.91416931152344,,,0
02OA033,OUTAOUAIS (RIVIERE DES) A LA MARINA DE SAINTE-ANNE-DE-BELLEVUE,QC,45.40224838256836,-73.94792175292969,,,0
02OA034,CHATEAUGUAY (RIVIERE) A SAINTE-MARTINE,QC,45.25333023071289,-73.80027770996094,2350.0,,0
02OA035,MILLE ILES (RIVIERE DES) EN AVAL DU LAC DES DEUX MONTAGNES,QC,45.54167175292969,-73.87306213378906,146000.0,,0
02OA036,PRAIRIES (RIVIERE DES) A CARTIERVILLE,QC,45.508888244628906,-73.79360961914062,146000.0,,0
02OA038,PRAIRIES (RIVIERE DES) A PONT VIAU,QC,45.55860900878906,-73.67666625976562,146000.0,,0
02OA039,SAINT-LOUIS (LAC) A POINTE-CLAIRE,QC,45.42768096923828,-73.8206787109375,,,0
02OA040,SAINT-LAURENT (FLEUVE) A LACHINE,QC,45.43111038208008,-73.67111206054688,,,0
02OA041,SAINT-LAURENT (FLEUVE) A LA PRAIRIE,QC,45.46485900878906,-73.505859375,,,0
02OA043,SAINT-LAURENT (FLEUVE) EN AMONT DE L'ECLUSE A COTE-SAINTE-CATHERINE,QC,45.408329010009766,-73.57472229003906,,,0
02OA044,SAINT-LAURENT (FLEUVE) EN AMONT DE L'ECLUSE A SAINT-LAMBERT,QC,45.4877815246582,-73.5088882446289,,,0
02OA045,SAINT-LAURENT (FLEUVE) EN AVAL DE L'ECLUSE A SAINT-LAMBERT,QC,45.50389099121094,-73.52111053466797,,,0
02OA046,SAINT-LAURENT (FLEUVE) A MONTREAL (JETEE NO. 1),QC,45.50471878051758,-73.5513916015625,,,0
02OA047,SAINT-LAURENT (FLEUVE) AU QUAI DE LA RUE FRONTENAC (MONTREAL),QC,45.52861022949219,-73.54277801513672,,,0
02OA048,SAINT-LAURENT (FLEUVE) A LONGUE-POINTE,QC,45.58277893066406,-73.50721740722656,,,0
02OA049,SAINT-LAURENT (FLEUVE) A POINTE-AUX-TREMBLES,QC,45.63222122192383,-73.4911117553711,,,0
02OA050,SAINT-LAURENT (FLEUVE) A VARENNES,QC,45.68471908569336,-73.44389343261719,,,0
02OA054,CHATEAUGUAY (RIVIERE) A 2 KM EN AMONT DU PONT-ROUTE 132,QC,45.331939697265625,-73.7619400024414,2490.0,,0
02OA055,NORTON (RUISSEAU) EN AVAL DU BARRAGE DE SAINTE-CLOTHILDE,QC,45.14944076538086,-73.70639038085938,221.0,,0
02OA056,NORTON (RUISSEAU) PRES DU BARRAGE DE SAINTE-CLOTHILDE,QC,45.157501220703125,-73.71916961669922,227.0,,0
02OA057,"ANGLAIS (RIVIERE DES) A 1,1 KM EN AVAL DU PONT-ROUTE A TRES-SAINT-SACREMENT",QC,45.17499923706055,-73.84500122070312,643.0,,0
02OA059,ANGLAIS (RIVIERE DES) A HOWICK,QC,45.18333053588867,-73.84528350830078,712.0,,0
02OA060,OUTARDES EST (RIVIERE AUX) PRES DE ANDERSONS CORNERS,QC,45.077781677246094,-74.04055786132812,133.0,,0
02OA061,OUTARDES EST (RIVIERE AUX) PRES DE LA RIVIERE AUX OUTARDES,QC,45.0988883972168,-74.0647201538086,138.0,,0
02OA062,TROUT (RIVIERE) A KELVINGROVE,QC,45.050559997558594,-74.23278045654297,409.0,,0
02OA065,MILLE ILES (RIVIERE DES) A SAINTE-ROSE,QC,45.533329010009766,-73.88278198242188,14600.0,,0
02OA069,PRAIRIES (RIVIERE DES) A SAINTE-GENEVIEVE-DE-PIERREFONDS,QC,45.47972106933594,-73.87444305419922,,,0
02OA072,PRAIRIES (RIVIERE DES) A LA CENTRALE DES PRAIRIES,QC,45.58943939208984,-73.65778350830078,146000.0,,0
02OA075,PRAIRIES (RIVIERE DES) A SAINT-VINCENT DE PAUL,QC,45.6119384765625,-73.64167022705078,146000.0,,0
02OA076,PRAIRIES (RIVIERE DES) A L'ILE MAHEU,QC,45.68082809448242,-73.54805755615234,,,0
02OA078,BELLE RIVIERE (LA) PRES DE LA RIVIERE DU CHENE,QC,45.61611175537109,-74.10360717773438,45.09999847412109,,0
02OA079,PETITE RIVIERE (LA) PRES DE LA RIVIERE DU CHENE,QC,45.5766716003418,-74.01139068603516,76.4000015258789,,0
02OA080,CHENE (RIVIERE DU) A LA FRESNIERE,QC,45.560279846191406,-73.977783203125,200.0,,0
02OA081,CHENE (RIVIERE DU) PRES DE L'EMBOUCHURE,QC,45.55778121948242,-73.89582824707031,217.0,,0
02OA082,MASCOUCHE (RIVIERE) EN AVAL DE LA RIVIERE SAINT-PIERRE,QC,45.76082992553711,-73.63082885742188,258.0,,0
02OA083,MASCOUCHE (RIVIERE) PRES DE LA RIVIERE SAINT-PIERRE,QC,45.7611083984375,-73.63417053222656,258.0,,0
02OA085,NORTON (RUISSEAU) AU BARRAGE A SAINT-CLOTHILDE,QC,45.14889144897461,-73.6763916015625,215.0,,0
02OA087,CHATEAUGUAY (RIVIERE) PRES DE ATHELSTAN,QC,45.03472137451172,-74.18417358398438,461.0,,0
02OA088,MILLE-ILES (RIVIERE DES) AU BARRAGE DE TERREBONNE,QC,45.69306182861328,-73.6494369506836,146000.0,,0
02OA090,QUINCHIEN (RIVIERE) A DORION,QC,45.388328552246094,-74.05082702636719,33.900001525878906,,0
02OA091,RAQUETTE (RIVIERE A LA),QC,45.45750045776367,-74.22943878173828,117.0,,0
02OA092,CHENE (RIVIERE DU),QC,45.560279846191406,-73.91972351074219,215.0,,0
02OA094,MILLE ILES (RIVIERE DES) A BARRAGE DU GRAND-MOULIN,QC,45.533199310302734,-73.88240051269531,146000.0,,0
02OA095,MILLE-ILES (RIVIERE DES)  EN AVAL DU BARRAGE GRAND-MOULIN A DEUX-MONTAGNES,QC,45.533199310302734,-73.88240051269531,146000.0,,0
02OA096,SAINT-LAURENT (FLEUVE) EN AVAL DE MONTREAL,QC,45.70777893066406,-73.45889282226562,92300.0,,0
02OA102,DES MILLES-ILES (RIVIERE) A L'USINE DE POMPAGE A DEUX-MONTAGNES,QC,45.54056167602539,-73.88667297363281,146000.0,,0
02OA105,DEUX MONTAGNES (LAC DES) A POINTE-CALUMET,QC,45.48917007446289,-73.97860717773438,146000.0,,0
02OA107,OUTAOUAIS (RIVIERE DES) A TERRASSE-VAUDREUIL,QC,45.38906097412109,-73.99810791015625,,,0
02OA108,CHATEAUGUAY (RIVIERE) A HUNTINGDON,QC,45.087100982666016,-74.1718978881836,1060.0,,0
02OA109,DU CHENE (RIVIERE) A LA PASSERELLE LAUZON SUR LA MONTEE LAUZON,QC,45.55989837646485,-73.97640228271484,196.0,,0
02OA110,NOIRE (RIVIERE) A L'ARTIFICE,QC,45.07659912109375,-73.8499984741211,35.0,,0
02OA111,DES ANGLAIS (RIVIERE) A SAINT-CHRYSOSTOME,QC,45.10029983520508,-73.76239776611328,275.0,,0
02OB001,L'ASSOMPTION (RIVIERE) A SAINT-COME,QC,46.27082824707031,-73.77166748046875,549.0,,0
02OB002,L'ASSOMPTION (RIVIERE) A JOLIETTE NO.1,QC,46.0122184753418,-73.42971801757812,1340.0,,0
02OB003,QUAREAU (RIVIERE) A RAWDON,QC,46.040828704833984,-73.71749877929688,1260.0,,0
02OB004,L'ASSOMPTION (RIVIERE) A CHARLEMAGNE,QC,45.71749877929688,-73.48388671875,,,0
02OB006,L'ASSOMPTION (RIVIERE) A L'ASSOMPTION,QC,45.82527923583984,-73.42305755615234,,,0
02OB007,L'ASSOMPTION (RIVIERE) A JOLIETTE NO.2,QC,46.01361083984375,-73.43138885498047,1340.0,,0
02OB008,L'ASSOMPTION (RIVIERE) AU PONT-ROUTE 158 A JOLIETTE,QC,46.01028060913086,-73.42749786376953,1340.0,,0
02OB009,SAINT-LAURENT (FLEUVE) A REPENTIGNY,QC,45.74222183227539,-73.4366683959961,,,0
02OB010,SAINT-LAURENT (FLEUVE) A LAVALTRIE,QC,45.883331298828125,-73.27361297607422,,,0
02OB011,SAINT-LAURENT (FLEUVE) A LANORAIE,QC,45.95941162109375,-73.21459197998047,,,0
02OB012,ACHIGAN (RIVIERE DE L') ECHELLE NO.1,QC,45.9244384765625,-73.9508285522461,,,0
02OB013,ACHIGAN (RIVIERE DE L') ECHELLE NO.2,QC,45.9244384765625,-73.9508285522461,,,0
02OB014,ACHIGAN (RIVIERE DE L') ECHELLE NO.3,QC,45.9244384765625,-73.9508285522461,,,0
02OB016,OUAREAU (RIVIERE) A LA CENTRALE DE RAWDON,QC,46.04528045654297,-73.73082733154297,1260.0,,0
02OB017,OUAREAU (RIVIERE) AUX CHUTES DORWIN,QC,46.02999877929688,-73.70527648925781,1270.0,,0
02OB018,ACHIGAN (LAC DE L'),QC,45.93806076049805,-73.99333190917969,,,0
02OB019,OUAREAU (LAC),QC,46.28305816650391,-74.16693878173828,355.0,,0
02OB020,ILES (LAC DES) A ENTRELACS,QC,46.09222030639648,-74.03360748291016,,,0
02OB028,ARCHAMBAULT (LAC),QC,46.337501525878906,-74.22888946533203,277.0,,0
02OB032,NOIRE (RIVIERE) A SAINTE EMELIE DE L'ENERGIE,QC,46.33943939208984,-73.65193939208984,190.0,,0
02OB033,SAINT-ESPRIT (RIVIERE) PRES DE L'EPIPHANIE,QC,45.86832809448242,-73.48249816894531,208.0,,0
02OB034,ROUGE (RIVIERE),QC,45.98749923706055,-73.49889373779297,319.0,,0
02OB035,"BEAUPORT (RIVIERE) A 0,6 KM DE L'ACHIGAN",QC,45.89527893066406,-73.8630599975586,76.69999694824219,,0
02OB036,ABERCROMBY (RIVIERE),QC,45.86582946777344,-73.90055847167969,58.5,,0
02OB037,ACHIGAN (RIVIERE DE L') A L'EPIPHANIE,QC,45.84638977050781,-73.49305725097656,647.0,,0
02OB038,SAINT-JOSEPH (RIVIERE),QC,46.0141716003418,-73.1866683959961,55.400001525878906,,0
02OB039,POINT-DU-JOUR (RUISSEAU) A 0.3 KM DE L'EMBOUCHURE,QC,45.83805847167969,-73.41443634033203,73.69999694824219,,0
02OB040,POINT-DU-JOUR (RUISSEAU) A 4.0 KM DU RUISSEAU LAROCHELLE,QC,45.848609924316406,-73.40860748291016,70.80000305175781,,0
02OB045,CROCHE (LAC) A L'EXUTOIRE,QC,45.98944091796875,-74.00527954101562,0.8899999856948853,,0
02OB046,BAYONNE (RIVIERE) A ST-FELIX-DE-VALOIS,QC,46.15169906616211,-73.39080047607422,190.0,,0
02OC001,LOUP (RIVIERE DU) PRES DE SAINT-PAULIN,QC,46.417781829833984,-72.9558334350586,1380.0,,0
